text@ms1999m	@ms1999m	84.241	87.471	Ну почти Вот я бы еще чуть подписчиков набрал тогда был бы готов
text@ms1999m	@ms1999m	91.42	93.987	Ну/ на самом деле/ просто/ был какой-то порыв/
text@ms1999m	@ms1999m	94.31	97.0	Сделать/ свою жизнь/ ну не совсем обычной//
text@ms1999m	@ms1999m	97.013	115.41	Я думаю любой человек вот примерно когда ему становится лет четырнадцать/ он сталкивается с этими идеями что типа нахрен эти офисы/ вы всё сделаете с помощью там панк рока или феминизма или любой там вот/ ааа повестки актуальной которая говорит ему что можно вот всю систему обмануть/ ааа иии всё суперски сделать
text@ms1999m	@ms1999m	115.457	121.785	В итоге я окрылённый вот этими идеями/ ааа грезил о том что я стану там то актёром то режиссёром то каким-то ещё автором//
text@ms1999m	@ms1999m	122.068	123.463	Вот в итоге пришел к ютубу
text@ms1999m	@ms1999m	123.533	128.586	И к моменту/ как это всё в моей голове осело и стало такими совершенно другими мыслями/
text@ms1999m	@ms1999m	128.99	129.375	ааа
text@ms1999m	@ms1999m	129.44	130.22	Про мою жизнь/
text@ms1999m	@ms1999m	130.295	130.888	эээ
text@ms1999m	@ms1999m	130.979	137.446	То я уже оказался ютубером/ То есть я как будто/ просн... проснулся в этом теле но я до окнца еще не совсем понимаю чё именно я делаю//
text@ms1999m	@ms1999m	137.892	138.139	ааа
text@ms1999m	@ms1999m	138.255	141.074	Дети это как бы не совсем люди//
text@ms1999m	@ms1999m	141.58	143.23	То есть до четырнадцати лет
text@ms1999m	@ms1999m	143.489	147.845	У вас прав/ ааа и свобод примерно столько же сколько у домашнего животного//
text@ms1999m	@ms1999m	147.991	155.916	Еще в совсем раннем детстве я даже делал видосы для презентаций по экономике классе в шестом вот если это можно считать первыми видосам/
text@ms1999m	@ms1999m	156.155	159.043	Ну мне в принципе нравился видеомонтаж яя постоянно всякую фигню сводил/
text@ms1999m	@ms1999m	159.492	159.896	Вот
text@ms1999m	@ms1999m	159.989	164.199	Ноо эээ именно каким-то первым этот ролик уже/ давно скрыт/
text@ms1999m	@ms1999m	164.257	169.209	Можно считать/ ролик который мы сняли с моим другом оператором/ и потом перестали снимать на несколько лет/
text@ms1999m	@ms1999m	169.383	171.951	А потом был самый первый это ролик про фильм защитники//
text@ms1999m	@ms1999m	172.247	173.783	Приввет/ меня зовут Миша/
text@ms1999m	@ms1999m	173.886	175.696	И перед началом ролика/ зацените/
text@ms1999m	@ms1999m	176.262	177.841	Фон уже/ не такой говнястый!
text@ms1999m	@ms1999m	179.905	183.305	Этот ролик был про то что я верил/ что это может быть хороший фильм//
